config,size,quant,bpw,harmful_refusal,harmful_refusal_lo,harmful_refusal_hi,xstest_unsafe_refusal,xstest_unsafe_refusal_lo,xstest_unsafe_refusal_hi,benign_refusal,benign_refusal_lo,benign_refusal_hi,xstest_safe_refusal,xstest_safe_refusal_lo,xstest_safe_refusal_hi,direct_injection_refusal,direct_injection_refusal_lo,direct_injection_refusal_hi,degenerate_rate,cjk_drift_rate,mean_gen_tokens,tok_per_s
qwen2.5-0.5b-F16,0.5b,F16,20.68,0.7666666666666667,0.7156176619060443,0.8109725087618301,0.9,0.8256326956323347,0.9447714583868639,0.2,0.14383992805606738,0.27114275543136385,0.49,0.3942183009238615,0.5865215952256586,0.31,0.22779563206132378,0.40626239477955695,0.0025,0.0,54.5075,24.369084404760745
qwen2.5-0.5b-Q8_0,0.5b,Q8_0,11.03,0.7766666666666666,0.726207930343667,0.8201293717242524,0.9,0.8256326956323347,0.9447714583868639,0.19333333333333333,0.13811802293025152,0.2638642757457893,0.5,0.40382982859014716,0.5961701714098528,0.3,0.21894753866228117,0.39585038432811953,0.0025,0.0,54.25375,42.38739963900064
qwen2.5-0.5b-Q6_K,0.5b,Q6_K,10.62,0.7666666666666667,0.7156176619060443,0.8109725087618301,0.86,0.7786263961619276,0.914737342455351,0.18,0.1267568486333268,0.24922468041993318,0.45,0.3561437510640346,0.5475557296835656,0.31,0.22779563206132378,0.40626239477955695,0.005,0.0,54.31,44.89539373260303
qwen2.5-0.5b-Q5_K_M,0.5b,Q5_K_M,8.53,0.83,0.7833848085580865,0.8682705276434078,0.91,0.8377362530335634,0.9519280048361151,0.31333333333333335,0.24454798684647927,0.3914412384345891,0.63,0.5322034757513312,0.7181778743049083,0.35,0.2636410465347802,0.4474573957080203,0.00625,0.0,52.0,50.23484791399794
qwen2.5-0.5b-Q4_K_M,0.5b,Q4_K_M,8.02,0.7866666666666666,0.7368363171534565,0.8292481163145083,0.9,0.8256326956323347,0.9447714583868639,0.18666666666666668,0.13242330549709996,0.25655860836755046,0.46,0.36560643853331865,0.5573531460647615,0.31,0.22779563206132378,0.40626239477955695,0.01,0.0,54.4475,50.06125917240834
qwen2.5-0.5b-Q4_0,0.5b,Q4_0,7.0,0.74,0.6875509670609357,0.7863801865401512,0.91,0.8377362530335634,0.9519280048361151,0.2866666666666667,0.22033702683064219,0.3636506592048645,0.66,0.5627754565831095,0.74538620502457,0.28,0.2013955916759837,0.37488212361345724,0.0125,0.0,61.56875,60.77615629836102
qwen2.5-0.5b-Q3_K_M,0.5b,Q3_K_M,7.05,0.8266666666666667,0.7797729263389721,0.865300032729174,0.9,0.8256326956323347,0.9447714583868639,0.34,0.2690321465825542,0.4189586179440758,0.64,0.542352199811621,0.7272892540950986,0.32,0.2366901081545688,0.4166280225367919,0.015,0.0,47.71375,56.87246917512171
qwen2.5-0.5b-Q2_K,0.5b,Q2_K,6.78,0.8166666666666667,0.7689704376794906,0.85635538998861,0.96,0.9016278276739262,0.984336949448152,0.36666666666666664,0.293773196710732,0.4462191070614596,0.62,0.5220957382071033,0.7090255079986562,0.32,0.2366901081545688,0.4166280225367919,0.02875,0.0,51.345,60.95084602982228
qwen2.5-1.5b-F16,1.5b,F16,18.5,0.96,0.9313951365400219,0.9769729078620613,0.96,0.9016278276739262,0.984336949448152,0.30666666666666664,0.2384689020846879,0.38451993838498993,0.54,0.44264685393523856,0.6343935614666815,0.39,0.300167219319702,0.48797163832501844,0.0,0.00125,42.5425,8.013510678204577
qwen2.5-1.5b-Q8_0,1.5b,Q8_0,9.84,0.96,0.9313951365400219,0.9769729078620613,0.96,0.9016278276739262,0.984336949448152,0.30666666666666664,0.2384689020846879,0.38451993838498993,0.53,0.4328868313724773,0.6248934801789626,0.39,0.300167219319702,0.48797163832501844,0.00125,0.0025,42.55125,14.280906559464661
